,crop_height,crop_width,epochs,height,hf,hl,image,is_cropped,lr,quantization_technique,seed,using_quantization,width
41,256,256,100000,512,8,10,cameramen,True,0.0001,,42,False,512
42,256,256,100000,512,8,10,cameramen,True,0.0001,,101,False,512
43,256,256,100000,512,8,10,cameramen,True,0.0001,,123,False,512
44,256,256,100000,512,8,10,cameramen,True,0.0001,,1234,False,512
45,256,256,100000,512,8,11,cameramen,True,0.0001,,0,False,512
46,256,256,100000,512,8,11,cameramen,True,0.0001,,42,False,512
47,256,256,100000,512,8,11,cameramen,True,0.0001,,101,False,512
48,256,256,100000,512,8,11,cameramen,True,0.0001,,123,False,512
49,256,256,100000,512,8,11,cameramen,True,0.0001,,1234,False,512
50,256,256,100000,512,8,12,cameramen,True,0.0001,,0,False,512
51,256,256,100000,512,8,12,cameramen,True,0.0001,,42,False,512
52,256,256,100000,512,8,12,cameramen,True,0.0001,,101,False,512
53,256,256,100000,512,8,12,cameramen,True,0.0001,,123,False,512
54,256,256,100000,512,8,12,cameramen,True,0.0001,,1234,False,512
55,256,256,100000,512,8,13,cameramen,True,0.0001,,0,False,512
56,256,256,100000,512,8,13,cameramen,True,0.0001,,42,False,512
57,256,256,100000,512,8,13,cameramen,True,0.0001,,101,False,512
58,256,256,100000,512,8,13,cameramen,True,0.0001,,123,False,512
59,256,256,100000,512,8,13,cameramen,True,0.0001,,1234,False,512
60,256,256,100000,512,9,2,cameramen,True,0.0001,,0,False,512
61,256,256,100000,512,9,2,cameramen,True,0.0001,,42,False,512
62,256,256,100000,512,9,2,cameramen,True,0.0001,,101,False,512
63,256,256,100000,512,9,2,cameramen,True,0.0001,,123,False,512
64,256,256,100000,512,9,2,cameramen,True,0.0001,,1234,False,512
65,256,256,100000,512,9,3,cameramen,True,0.0001,,0,False,512
66,256,256,100000,512,9,3,cameramen,True,0.0001,,42,False,512
67,256,256,100000,512,9,3,cameramen,True,0.0001,,101,False,512
68,256,256,100000,512,9,3,cameramen,True,0.0001,,123,False,512
69,256,256,100000,512,9,3,cameramen,True,0.0001,,1234,False,512
70,256,256,100000,512,9,4,cameramen,True,0.0001,,0,False,512
71,256,256,100000,512,9,4,cameramen,True,0.0001,,42,False,512
72,256,256,100000,512,9,4,cameramen,True,0.0001,,101,False,512
73,256,256,100000,512,9,4,cameramen,True,0.0001,,123,False,512
74,256,256,100000,512,9,4,cameramen,True,0.0001,,1234,False,512
75,256,256,100000,512,9,5,cameramen,True,0.0001,,0,False,512
76,256,256,100000,512,9,5,cameramen,True,0.0001,,42,False,512
77,256,256,100000,512,9,5,cameramen,True,0.0001,,101,False,512
78,256,256,100000,512,9,5,cameramen,True,0.0001,,123,False,512
79,256,256,100000,512,9,5,cameramen,True,0.0001,,1234,False,512
80,256,256,100000,512,9,6,cameramen,True,0.0001,,0,False,512
81,256,256,100000,512,9,6,cameramen,True,0.0001,,42,False,512
82,256,256,100000,512,9,6,cameramen,True,0.0001,,101,False,512
83,256,256,100000,512,9,6,cameramen,True,0.0001,,123,False,512
84,256,256,100000,512,9,6,cameramen,True,0.0001,,1234,False,512
85,256,256,100000,512,9,7,cameramen,True,0.0001,,0,False,512
86,256,256,100000,512,9,7,cameramen,True,0.0001,,42,False,512
87,256,256,100000,512,9,7,cameramen,True,0.0001,,101,False,512
88,256,256,100000,512,9,7,cameramen,True,0.0001,,123,False,512
89,256,256,100000,512,9,7,cameramen,True,0.0001,,1234,False,512
90,256,256,100000,512,9,8,cameramen,True,0.0001,,0,False,512
91,256,256,100000,512,9,8,cameramen,True,0.0001,,42,False,512
92,256,256,100000,512,9,8,cameramen,True,0.0001,,101,False,512
93,256,256,100000,512,9,8,cameramen,True,0.0001,,123,False,512
94,256,256,100000,512,9,8,cameramen,True,0.0001,,1234,False,512
95,256,256,100000,512,9,9,cameramen,True,0.0001,,0,False,512
96,256,256,100000,512,9,9,cameramen,True,0.0001,,42,False,512
97,256,256,100000,512,9,9,cameramen,True,0.0001,,101,False,512
98,256,256,100000,512,9,9,cameramen,True,0.0001,,123,False,512
99,256,256,100000,512,9,9,cameramen,True,0.0001,,1234,False,512
100,256,256,100000,512,9,10,cameramen,True,0.0001,,0,False,512
101,256,256,100000,512,9,10,cameramen,True,0.0001,,42,False,512
102,256,256,100000,512,9,10,cameramen,True,0.0001,,101,False,512
103,256,256,100000,512,9,10,cameramen,True,0.0001,,123,False,512
104,256,256,100000,512,9,10,cameramen,True,0.0001,,1234,False,512
105,256,256,100000,512,9,11,cameramen,True,0.0001,,0,False,512
106,256,256,100000,512,9,11,cameramen,True,0.0001,,42,False,512
107,256,256,100000,512,9,11,cameramen,True,0.0001,,101,False,512
108,256,256,100000,512,9,11,cameramen,True,0.0001,,123,False,512
109,256,256,100000,512,9,11,cameramen,True,0.0001,,1234,False,512
110,256,256,100000,512,9,12,cameramen,True,0.0001,,0,False,512
111,256,256,100000,512,9,12,cameramen,True,0.0001,,42,False,512
112,256,256,100000,512,9,12,cameramen,True,0.0001,,101,False,512
113,256,256,100000,512,9,12,cameramen,True,0.0001,,123,False,512
114,256,256,100000,512,9,12,cameramen,True,0.0001,,1234,False,512
115,256,256,100000,512,9,13,cameramen,True,0.0001,,0,False,512
116,256,256,100000,512,9,13,cameramen,True,0.0001,,42,False,512
117,256,256,100000,512,9,13,cameramen,True,0.0001,,101,False,512
118,256,256,100000,512,9,13,cameramen,True,0.0001,,123,False,512
119,256,256,100000,512,9,13,cameramen,True,0.0001,,1234,False,512
120,256,256,100000,512,10,2,cameramen,True,0.0001,,0,False,512
121,256,256,100000,512,10,2,cameramen,True,0.0001,,42,False,512
122,256,256,100000,512,10,2,cameramen,True,0.0001,,101,False,512
123,256,256,100000,512,10,2,cameramen,True,0.0001,,123,False,512
124,256,256,100000,512,10,2,cameramen,True,0.0001,,1234,False,512
125,256,256,100000,512,10,3,cameramen,True,0.0001,,0,False,512
126,256,256,100000,512,10,3,cameramen,True,0.0001,,42,False,512
127,256,256,100000,512,10,3,cameramen,True,0.0001,,101,False,512
128,256,256,100000,512,10,3,cameramen,True,0.0001,,123,False,512
129,256,256,100000,512,10,3,cameramen,True,0.0001,,1234,False,512
130,256,256,100000,512,10,4,cameramen,True,0.0001,,0,False,512
131,256,256,100000,512,10,4,cameramen,True,0.0001,,42,False,512
132,256,256,100000,512,10,4,cameramen,True,0.0001,,101,False,512
133,256,256,100000,512,10,4,cameramen,True,0.0001,,123,False,512
134,256,256,100000,512,10,4,cameramen,True,0.0001,,1234,False,512
135,256,256,100000,512,10,5,cameramen,True,0.0001,,0,False,512
136,256,256,100000,512,10,5,cameramen,True,0.0001,,42,False,512
137,256,256,100000,512,10,5,cameramen,True,0.0001,,101,False,512
