,width,height,crop_width,crop_heigth,name,quality,bpp,mse_score,psnr_score,ssim_score,cr_score,is_cropped
0,481,321,256,256,test011,92,1.6644969915997954,3.691741943359375,42.458490250936535,0.9914897940795512,0.5450757876359019,True
1,481,321,256,256,test022,92,1.971334382549336,6.2517242431640625,40.17080547361034,0.9921710132771167,0.5383059497137167,True
2,481,321,256,256,test027,92,1.2446551511972073,3.596954345703125,42.57145435291556,0.9877301808808758,0.48486677589031646,True
3,481,321,256,256,test032,92,2.023613836697949,5.5719451904296875,40.67073525120833,0.994066010212386,0.5466220693572308,True
4,481,321,256,256,test053,92,1.0468325982344675,3.32415771484375,42.91398740141679,0.9844127446377844,0.44484860904759466,True
5,481,321,256,256,test005,92,1.6180724218107396,5.0624237060546875,41.08721869689951,0.9913849166594902,0.52425705794948,True
6,481,321,256,256,test007,92,1.6070362238586537,4.1375885009765625,41.963330646400976,0.9928414978146758,0.529259928463439,True
7,481,321,256,256,test014,92,1.0860551421299085,3.2166900634765625,43.05671143362388,0.989725295906559,0.49182371123741153,True
8,481,321,256,256,test051,92,1.6810253819599614,5.2387542724609375,40.938523328374245,0.9928516100243535,0.5537139139070579,True
9,481,321,256,256,test057,92,1.3706646977675014,4.914398193359375,41.216100182125565,0.9899801054984831,0.5139688816298461,True
10,481,321,256,256,test042,92,1.3120640410360036,4.1790008544921875,41.92007900922847,0.9868155612564691,0.5039219755135921,True
11,481,321,256,256,test043,92,1.3197323851529459,2.4769134521484375,44.191695290543905,0.9952850614283881,0.5444143759198594,True
12,321,481,256,256,test045,92,0.7724820435100809,2.850799560546875,43.58113677689845,0.9869664574701505,0.4612462786161585,True
13,481,321,256,256,test016,92,1.8971897850402524,4.65380859375,41.45271843624894,0.9937799345393713,0.551925433787009,True
14,481,321,256,256,test020,92,1.3477114785526,5.62103271484375,40.632642479402506,0.9890004308961077,0.5343756770419585,True
15,481,321,256,256,test023,92,1.494342653221158,2.52459716796875,44.10888270169724,0.9927355015695611,0.5174245432883241,True
16,481,321,256,256,test024,92,1.602373041625378,3.3328857421875,42.90259935412611,0.9924373600160722,0.510845045982995,True
17,481,321,256,256,test015,92,1.7759988601110097,5.7663726806640625,40.52177653456457,0.988514733125726,0.5298210403077438,True
18,481,321,256,256,test037,92,1.458073458073458,4.8815460205078125,41.24522972914139,0.9887447721990371,0.5046548825001025,True
19,481,321,256,256,test056,92,2.700500644425878,8.024932861328125,39.086389531961956,0.992371449598755,0.5727404678166694,True
20,481,321,256,256,test033,92,1.4614413119086016,4.142181396484375,41.9585124705234,0.9919961493247136,0.5179387375190387,True
21,481,321,256,256,test025,92,1.137712838647418,4.1976776123046875,41.90071279783392,0.9947073153849496,0.5299181725196045,True
22,481,321,256,256,test047,92,1.9372931522464232,6.0133209228515625,40.33965978691403,0.9910813988894356,0.5317809943360604,True
23,481,321,256,256,test044,92,1.779004021994676,6.0070648193359375,40.34418042633217,0.9932544966200645,0.5680286006128703,True
24,481,321,256,256,test058,92,1.0647599432646162,3.15081787109375,43.14657060792928,0.9851821698632324,0.43300127713920816,True
25,481,321,256,256,test060,92,1.0130504336111812,4.0668182373046875,42.03825598421426,0.9837497336385252,0.45778673163418293,True
26,481,321,256,256,test036,92,1.6651187492308988,7.4609222412109375,39.4028784713337,0.9804785619990504,0.49548938479278304,True
27,321,481,256,256,test039,92,1.0879204150232187,1.6551513671875,45.94242643766299,0.993130997688196,0.5118291654959258,True
28,481,321,256,256,test041,92,1.6401448177149112,5.3715972900390625,40.82976914814202,0.9902712965185415,0.5312511496155685,True
29,481,321,256,256,test049,92,1.0105634030867676,2.6779937744140625,43.85270797803855,0.9873225211217098,0.46202312138728324,True
30,481,321,256,256,test026,92,1.5693680740409712,5.3068389892578125,40.8824444963529,0.9885538816448836,0.5074178607613258,True
31,481,321,256,256,test019,92,1.5868809139837177,4.4878997802734375,41.61037210783842,0.9893245657248794,0.5309769816890733,True
32,481,321,256,256,test008,92,2.0431992020777066,6.2784423828125,40.1522844777633,0.9917443415188909,0.5485092864125122,True
33,481,321,256,256,test012,92,1.6240827455780726,4.0290985107421875,42.07872474926859,0.9910688796396664,0.5121471755498683,True
34,481,321,256,256,test068,92,1.9242362419932513,5.4478759765625,40.76853148767079,0.9947617814411157,0.5836754866180048,True
35,321,481,256,256,test001,92,2.1811257699108166,7.5919342041015625,39.327279252684114,0.9862046623627145,0.5098896978408274,True
36,321,481,256,256,test029,92,2.5668227537386414,8.951919555664062,38.6116419001609,0.9953985001691398,0.6205382794364385,True
37,481,321,256,256,test030,92,1.294706640501033,2.9976348876953125,43.36301626256752,0.9922931869412622,0.5083747307337231,True
38,481,321,256,256,test028,92,0.7675079824612535,2.1005401611328125,44.907493714511105,0.989914594989605,0.48467610040531894,True
39,512,512,256,256,lena,92,1.007781982421875,0.0008544921875,78.8137226448541,0.9999936850304241,0.5362655755997768,True
40,481,321,256,256,test061,92,1.1909249292426862,4.892242431640625,41.23572390812122,0.984430055132011,0.48752306828211506,True
41,321,481,256,256,test067,92,2.646770422471357,8.434326171875,38.87029968848018,0.9952440535448245,0.5753647915658662,True
42,481,321,256,256,test010,92,1.2766756691990337,3.0608673095703125,43.27235857788209,0.9917690464988438,0.5028936805750024,True
43,321,481,256,256,test054,92,1.552995123088581,4.1361541748046875,41.96483642189424,0.9904164400176156,0.5224354132044116,True
44,321,481,256,256,test001,92,2.1811257699108166,7.5919342041015625,39.327279252684114,0.9862046623627145,0.5098896978408274,True
